                   Art  Sort         Kg.  Gnms. pris         Max        dato  \
12           Havtaske   4.0     660 kg.   39,62 Kr.   41,00 Kr.  03-11-2020   
13           Havtaske   5.0     186 kg.   18,83 Kr.   20,25 Kr.  03-11-2020   
14              Havål   0.0       3 kg.   50,00 Kr.   50,00 Kr.  03-11-2020   
15       Helleflynder   1.0      13 kg.   75,00 Kr.   75,00 Kr.  03-11-2020   
16       Helleflynder   4.0      12 kg.   71,00 Kr.   71,00 Kr.  03-11-2020   
17       Helleflynder   5.0       2 kg.   60,80 Kr.   60,80 Kr.  03-11-2020   
18           Hvilling   2.0      43 kg.   14,02 Kr.   14,07 Kr.  03-11-2020   
19           Hvilling   3.0       9 kg.    8,72 Kr.    8,72 Kr.  03-11-2020   
20              Ising   1.0     219 kg.   16,22 Kr.   16,97 Kr.  03-11-2020   
21              Ising   2.0     119 kg.    8,69 Kr.    8,88 Kr.  03-11-2020   
22          Knurhaner   2.0      10 kg.   15,40 Kr.   15,40 Kr.  03-11-2020   
23          Knurhaner   3.0      20 kg.    3,10 Kr.    3,10 Kr.  03-11-2020   
24         Krabbeklør   1.0      24 kg.   85,50 Kr.   91,00 Kr.  03-11-2020   
25         Krabbeklør   2.0      47 kg.   39,09 Kr.   39,70 Kr.  03-11-2020   
26             Kuller   1.0      33 kg.   22,38 Kr.   22,72 Kr.  03-11-2020   
27             Kuller   2.0      65 kg.   16,10 Kr.   16,32 Kr.  03-11-2020   
28             Kuller   3.0     354 kg.    8,34 Kr.    9,40 Kr.  03-11-2020   
29             Kuller   4.0      44 kg.    3,11 Kr.    3,12 Kr.  03-11-2020   
30            Kulmule   0.0      19 kg.   32,30 Kr.   32,30 Kr.  03-11-2020   
31            Kulmule   1.0       6 kg.   24,59 Kr.   24,59 Kr.  03-11-2020   
32            Kulmule   2.0      16 kg.   21,22 Kr.   24,72 Kr.  03-11-2020   
33            Kulmule   3.0      48 kg.    7,68 Kr.   11,76 Kr.  03-11-2020   
34            Kulmule   4.0       6 kg.    3,76 Kr.    3,76 Kr.  03-11-2020   
35            Kulmule   9.0      12 kg.    5,77 Kr.    5,77 Kr.  03-11-2020   
36             Langer   1.0      48 kg.   23,72 Kr.   23,72 Kr.  03-11-2020   
37             Langer   2.0      15 kg.   17,62 Kr.   18,05 Kr.  03-11-2020   
38             Langer   3.0     117 kg.   12,69 Kr.   14,08 Kr.  03-11-2020   
39             Lyssej   2.0      17 kg.   24,46 Kr.   24,58 Kr.  03-11-2020   
40             Lyssej   3.0     244 kg.   23,93 Kr.   24,92 Kr.  03-11-2020   
41             Lyssej   4.0     101 kg.   19,06 Kr.   20,06 Kr.  03-11-2020   
42             Makrel   9.0      95 kg.   16,24 Kr.   16,24 Kr.  03-11-2020   
43            Mørksej   1.0       9 kg.   15,59 Kr.   15,59 Kr.  03-11-2020   
44            Mørksej   2.0      27 kg.   16,00 Kr.   16,00 Kr.  03-11-2020   
45            Mørksej   3.0      60 kg.   15,83 Kr.   15,83 Kr.  03-11-2020   
46            Mørksej   4.0      95 kg.   10,30 Kr.   10,53 Kr.  03-11-2020   
47         Pighaj u/r   2.0     194 kg.    7,80 Kr.    8,71 Kr.  03-11-2020   
48            Pighvar   0.0      51 kg.  137,66 Kr.  160,00 Kr.  03-11-2020   
49            Pighvar   1.0      66 kg.  118,71 Kr.  134,30 Kr.  03-11-2020   
50            Pighvar   2.0      33 kg.  109,50 Kr.  113,60 Kr.  03-11-2020   
51            Pighvar   3.0     122 kg.   83,77 Kr.   92,20 Kr.  03-11-2020   
52            Pighvar   4.0      84 kg.   46,77 Kr.   51,90 Kr.  03-11-2020   
53            Pighvar   9.0      19 kg.   26,59 Kr.   28,30 Kr.  03-11-2020   
54          Rød mulle   9.0       6 kg.   34,80 Kr.   34,80 Kr.  03-11-2020   
55             Rødhaj   9.0      30 kg.   13,10 Kr.   13,10 Kr.  03-11-2020   
56         Rødspætter   1.0   1.799 kg.   28,14 Kr.   29,22 Kr.  03-11-2020   
57         Rødspætter   2.0   2.413 kg.   29,86 Kr.   31,87 Kr.  03-11-2020   
58         Rødspætter   3.0   3.019 kg.   19,98 Kr.   23,08 Kr.  03-11-2020   
59         Rødspætter   4.0   4.077 kg.   14,69 Kr.   16,90 Kr.  03-11-2020   
60          Rødtunger   1.0     146 kg.   69,00 Kr.   73,50 Kr.  03-11-2020   
61          Rødtunger   2.0   1.080 kg.   45,30 Kr.   52,08 Kr.  03-11-2020   
62          Rødtunger   3.0   1.867 kg.   23,51 Kr.   25,45 Kr.  03-11-2020   
63          Skærising   1.0      11 kg.   37,90 Kr.   37,90 Kr.  03-11-2020   
64          Skærising   2.0      51 kg.   27,80 Kr.   27,80 Kr.  03-11-2020   
65          Skærising   3.0      10 kg.    6,10 Kr.    6,10 Kr.  03-11-2020   
66           Slethvar   0.0      30 kg.   73,24 Kr.   84,20 Kr.  03-11-2020   
67           Slethvar   1.0      85 kg.   51,39 Kr.   52,00 Kr.  03-11-2020   
68           Slethvar   2.0      59 kg.   31,08 Kr.   39,00 Kr.  03-11-2020   
69   Småplettet rokke   9.0      67 kg.   11,88 Kr.   12,62 Kr.  03-11-2020   
70  Storplettet Rokke   9.0      33 kg.   12,00 Kr.   12,00 Kr.  03-11-2020   
71              Torsk   0.0      20 kg.   45,67 Kr.   45,67 Kr.  03-11-2020   
72              Torsk   1.0      61 kg.   48,15 Kr.   48,98 Kr.  03-11-2020   
73              Torsk   2.0     298 kg.   46,54 Kr.   47,20 Kr.  03-11-2020   
74              Torsk   3.0     575 kg.   40,00 Kr.   41,00 Kr.  03-11-2020   
75              Torsk   4.0   2.105 kg.   27,84 Kr.   30,92 Kr.  03-11-2020   
76              Torsk   5.0   1.681 kg.   16,11 Kr.   19,01 Kr.  03-11-2020   
77             Tunger   1.0      35 kg.  107,76 Kr.  113,20 Kr.  03-11-2020   
78             Tunger   2.0      42 kg.   95,38 Kr.   99,00 Kr.  03-11-2020   
79             Tunger   3.0      22 kg.   71,50 Kr.   71,50 Kr.  03-11-2020   
80             Tunger   4.0      15 kg.   50,40 Kr.   50,40 Kr.  03-11-2020   
81             Tunger   5.0      10 kg.   32,80 Kr.   32,80 Kr.  03-11-2020   
82              Total   NaN  25.327 kg.         NaN         NaN  03-11-2020   

     auktion  
0   Thyborøn  
1   Thyborøn  
2   Thyborøn  
3   Thyborøn  
4   Thyborøn  
5   Thyborøn  
6   Thyborøn  
7   Thyborøn  
8   Thyborøn  
9   Thyborøn  
10  Thyborøn  
11  Thyborøn  
12  Thyborøn  
13  Thyborøn  
14  Thyborøn  
15  Thyborøn  
16  Thyborøn  
17  Thyborøn  
18  Thyborøn  
19  Thyborøn  
20  Thyborøn  
21  Thyborøn  
22  Thyborøn  
23  Thyborøn  
24  Thyborøn  
25  Thyborøn  
26  Thyborøn  
27  Thyborøn  
28  Thyborøn  
29  Thyborøn  
30  Thyborøn  
31  Thyborøn  
32  Thyborøn  
33  Thyborøn  
34  Thyborøn  
35  Thyborøn  
36  Thyborøn  
37  Thyborøn  
38  Thyborøn  
39  Thyborøn  
40  Thyborøn  
41  Thyborøn  
42  Thyborøn  
43  Thyborøn  
44  Thyborøn  
45  Thyborøn  
46  Thyborøn  
47  Thyborøn  
48  Thyborøn  
49  Thyborøn  
50  Thyborøn  
51  Thyborøn  
52  Thyborøn  
53  Thyborøn  
54  Thyborøn  
55  Thyborøn  
56  Thyborøn  
57  Thyborøn  
58  Thyborøn  
59  Thyborøn  
60  Thyborøn  
61  Thyborøn  
62  Thyborøn  
63  Thyborøn  
64  Thyborøn  
65  Thyborøn  
66  Thyborøn  
67  Thyborøn  
68  Thyborøn  
69  Thyborøn  
70  Thyborøn  
71  Thyborøn  
72  Thyborøn  
73  Thyborøn  
74  Thyborøn  
75  Thyborøn  
76  Thyborøn  
77  Thyborøn  
78  Thyborøn  
79  Thyborøn  
80  Thyborøn  
81  Thyborøn  
82  Thyborøn  
                      Art  Sort         Kg.  Gnms. pris         Max  \
0   Blæksprutte Ottearmet   4.0      32 kg.   17,86 Kr.   17,86 Kr.   
1            Blæksprutter   9.0     671 kg.   15,97 Kr.   24,44 Kr.   
2                 Fjæsing   9.0      22 kg.   15,50 Kr.   15,50 Kr.   
3                  Havkat   2.0     217 kg.   46,07 Kr.   48,91 Kr.   
4                  Havkat   3.0      30 kg.   21,10 Kr.   21,10 Kr.   
5                Havtaske   1.0      70 kg.   32,49 Kr.   33,36 Kr.   
6                Havtaske   2.0     212 kg.   33,31 Kr.   35,06 Kr.   
7                Havtaske   3.0     422 kg.   38,29 Kr.   41,08 Kr.   
8                Havtaske   4.0     441 kg.   36,70 Kr.   36,83 Kr.   
9                Havtaske   5.0     184 kg.   17,99 Kr.   18,51 Kr.   
10           Helleflynder   1.0      10 kg.   66,50 Kr.   67,60 Kr.   
11           Helleflynder   2.0      26 kg.   66,50 Kr.   67,30 Kr.   
12           Helleflynder   3.0      29 kg.   62,31 Kr.   66,10 Kr.   
13           Helleflynder   4.0      53 kg.   59,37 Kr.   64,70 Kr.   
14           Helleflynder   5.0      66 kg.   51,80 Kr.   56,40 Kr.   
15               Hvilling   2.0      64 kg.   11,89 Kr.   11,89 Kr.   
16               Hvilling   3.0      68 kg.    9,45 Kr.    9,45 Kr.   
17                  Ising   1.0      74 kg.   16,02 Kr.   16,02 Kr.   
18                  Ising   2.0     145 kg.   10,24 Kr.   10,24 Kr.   
19              Knurhaner   1.0      15 kg.   30,00 Kr.   30,00 Kr.   
20              Knurhaner   2.0      45 kg.   12,23 Kr.   14,50 Kr.   
21              Knurhaner   3.0      72 kg.    3,63 Kr.    4,60 Kr.   
22              Knurhaner   4.0       7 kg.    1,10 Kr.    1,10 Kr.   
23             Krabbeklør   1.0      28 kg.   69,90 Kr.   69,90 Kr.   
24             Krabbeklør   2.0      44 kg.   38,30 Kr.   38,30 Kr.   
25                 Kuller   1.0       4 kg.   21,80 Kr.   21,80 Kr.   
26                 Kuller   2.0     214 kg.   15,19 Kr.   15,46 Kr.   
27                 Kuller   3.0      51 kg.   10,23 Kr.   10,50 Kr.   
28                 Kuller   4.0      13 kg.    6,73 Kr.    6,73 Kr.   
29                Kulmule   2.0       4 kg.   19,69 Kr.   19,69 Kr.   
30                Kulmule   3.0      20 kg.    9,83 Kr.    9,83 Kr.   
31                Kulmule   4.0      55 kg.    5,03 Kr.    5,28 Kr.   
32                 Langer   2.0      38 kg.   20,35 Kr.   21,03 Kr.   
33                 Langer   3.0      88 kg.   15,95 Kr.   16,55 Kr.   
34                 Lyssej   2.0      50 kg.   27,65 Kr.   29,32 Kr.   
35                 Lyssej   3.0      95 kg.   25,68 Kr.   25,86 Kr.   
36                 Lyssej   4.0      41 kg.   20,80 Kr.   20,80 Kr.   
37                 Lyssej   9.0      11 kg.   19,00 Kr.   19,00 Kr.   
38                Mørksej   4.0      16 kg.    9,85 Kr.    9,85 Kr.   
39                Pighvar   0.0      32 kg.  120,70 Kr.  120,70 Kr.   
40                Pighvar   1.0      85 kg.  113,98 Kr.  134,90 Kr.   
41                Pighvar   2.0      74 kg.  100,61 Kr.  111,70 Kr.   
42                Pighvar   3.0     122 kg.   77,45 Kr.   81,70 Kr.   
43                Pighvar   4.0      42 kg.   52,30 Kr.   52,30 Kr.   
44                Pighvar   9.0      27 kg.   31,28 Kr.   32,00 Kr.   
45              Rød mulle   9.0       7 kg.   35,80 Kr.   35,80 Kr.   
46                 Rødhaj   9.0     111 kg.    6,71 Kr.   11,37 Kr.   
47             Rødspætter   1.0   1.728 kg.   28,52 Kr.   29,79 Kr.   
48             Rødspætter   2.0   2.489 kg.   30,52 Kr.   34,41 Kr.   
49             Rødspætter   3.0   2.762 kg.   20,93 Kr.   28,49 Kr.   
50             Rødspætter   4.0   4.510 kg.   14,38 Kr.   14,82 Kr.   
51              Rødtunger   1.0     593 kg.   57,46 Kr.   60,24 Kr.   
52              Rødtunger   2.0   1.295 kg.   40,86 Kr.   48,74 Kr.   
53              Rødtunger   3.0   1.187 kg.   23,64 Kr.   24,39 Kr.   
54      Sankt Peters fisk   9.0       3 kg.   35,00 Kr.   35,00 Kr.   
55              Skægtorsk   6.0       8 kg.  107,50 Kr.  107,50 Kr.   
56              Skærising   2.0      60 kg.   18,45 Kr.   18,80 Kr.   
57               Slethvar   0.0      37 kg.   69,20 Kr.   69,20 Kr.   
58               Slethvar   1.0     103 kg.   47,51 Kr.   52,60 Kr.   
59               Slethvar   2.0     144 kg.   28,16 Kr.   36,60 Kr.   
60               Slethvar   9.0       7 kg.   27,20 Kr.   27,20 Kr.   
61       Småplettet rokke   9.0     354 kg.   15,47 Kr.   16,75 Kr.   
62      Storplettet Rokke   9.0      69 kg.   14,20 Kr.   14,20 Kr.   
63           Taskekrabber   9.0     326 kg.    5,02 Kr.    7,87 Kr.   
64                  Torsk   0.0     125 kg.   47,55 Kr.   47,55 Kr.   
65                  Torsk   1.0     351 kg.   48,42 Kr.   48,52 Kr.   
66                  Torsk   2.0     797 kg.   47,23 Kr.   48,69 Kr.   
67                  Torsk   3.0     891 kg.   42,10 Kr.   42,52 Kr.   
68                  Torsk   4.0   1.975 kg.   29,18 Kr.   34,65 Kr.   
69                  Torsk   5.0   1.758 kg.   17,76 Kr.   18,10 Kr.   
70                 Tunger   1.0      61 kg.  115,10 Kr.  115,10 Kr.   
71                 Tunger   2.0      76 kg.   93,72 Kr.   94,10 Kr.   
72                 Tunger   3.0      48 kg.   56,88 Kr.   58,50 Kr.   
73                 Tunger   4.0      47 kg.   53,40 Kr.   53,40 Kr.   
74                 Tunger   5.0      64 kg.   39,99 Kr.   40,00 Kr.   
75                  Total   NaN  26.115 kg.         NaN         NaN   

          dato   auktion  
0   04-11-2020  Thyborøn  
1   04-11-2020  Thyborøn  
2   04-11-2020  Thyborøn  
3   04-11-2020  Thyborøn  
4   04-11-2020  Thyborøn  
5   04-11-2020  Thyborøn  
6   04-11-2020  Thyborøn  
7   04-11-2020  Thyborøn  
8   04-11-2020  Thyborøn  
9   04-11-2020  Thyborøn  
10  04-11-2020  Thyborøn  
11  04-11-2020  Thyborøn  
12  04-11-2020  Thyborøn  
13  04-11-2020  Thyborøn  
14  04-11-2020  Thyborøn  
15  04-11-2020  Thyborøn  
16  04-11-2020  Thyborøn  
17  04-11-2020  Thyborøn  
18  04-11-2020  Thyborøn  
19  04-11-2020  Thyborøn  
20  04-11-2020  Thyborøn  
21  04-11-2020  Thyborøn  
22  04-11-2020  Thyborøn  
23  04-11-2020  Thyborøn  
24  04-11-2020  Thyborøn  
25  04-11-2020  Thyborøn  
26  04-11-2020  Thyborøn  
27  04-11-2020  Thyborøn  
28  04-11-2020  Thyborøn  
29  04-11-2020  Thyborøn  
30  04-11-2020  Thyborøn  
31  04-11-2020  Thyborøn  
32  04-11-2020  Thyborøn  
33  04-11-2020  Thyborøn  
34  04-11-2020  Thyborøn  
35  04-11-2020  Thyborøn  
36  04-11-2020  Thyborøn  
37  04-11-2020  Thyborøn  
38  04-11-2020  Thyborøn  
39  04-11-2020  Thyborøn  
40  04-11-2020  Thyborøn  
41  04-11-2020  Thyborøn  
42  04-11-2020  Thyborøn  
43  04-11-2020  Thyborøn  
44  04-11-2020  Thyborøn  
45  04-11-2020  Thyborøn  
46  04-11-2020  Thyborøn  
47  04-11-2020  Thyborøn  
48  04-11-2020  Thyborøn  
49  04-11-2020  Thyborøn  
50  04-11-2020  Thyborøn  
