Art,Sort,Kg.,Gnms. pris,Max,dato,auktion
Tunger,"5,0",45 kg.,"28,90 Kr.","28,90 Kr.",12-11-2020,Thyborøn
Tunger,"9,0",1 kg.,"40,00 Kr.","40,00 Kr.",12-11-2020,Thyborøn
Alm hummer,"1,0",33 kg.,"108,95 Kr.","116,40 Kr.",13-11-2020,Thyborøn
Alm hummer,"2,0",2 kg.,"150,10 Kr.","150,10 Kr.",13-11-2020,Thyborøn
Alm hummer,"9,0",4 kg.,"91,00 Kr.","91,00 Kr.",13-11-2020,Thyborøn
Blæksprutter,"9,0",477 kg.,"14,18 Kr.","20,10 Kr.",13-11-2020,Thyborøn
Brosme,"9,0",70 kg.,"18,86 Kr.","20,40 Kr.",13-11-2020,Thyborøn
Fjæsing,"9,0",5 kg.,"15,30 Kr.","15,30 Kr.",13-11-2020,Thyborøn
Glashvarre,"9,0",10 kg.,"30,40 Kr.","30,40 Kr.",13-11-2020,Thyborøn
Gråhaj,"9,0",8 kg.,"1,90 Kr.","1,90 Kr.",13-11-2020,Thyborøn
Havbars,"9,0",1 kg.,"40,30 Kr.","40,30 Kr.",13-11-2020,Thyborøn
Havkat,"1,0",18 kg.,"44,10 Kr.","44,10 Kr.",13-11-2020,Thyborøn
Havkat,"2,0",19 kg.,"29,67 Kr.","32,90 Kr.",13-11-2020,Thyborøn
Havtaske,"1,0",252 kg.,"30,87 Kr.","32,80 Kr.",13-11-2020,Thyborøn
Havtaske,"2,0",464 kg.,"36,78 Kr.","38,00 Kr.",13-11-2020,Thyborøn
Havtaske,"3,0",360 kg.,"38,13 Kr.","38,50 Kr.",13-11-2020,Thyborøn
Havtaske,"4,0",420 kg.,"25,29 Kr.","28,00 Kr.",13-11-2020,Thyborøn
Havtaske,"5,0",210 kg.,"14,98 Kr.","16,80 Kr.",13-11-2020,Thyborøn
Havtaske,"9,0",6 kg.,"17,90 Kr.","17,90 Kr.",13-11-2020,Thyborøn
Helleflynder,"1,0",30 kg.,"85,85 Kr.","89,30 Kr.",13-11-2020,Thyborøn
Helleflynder,"3,0",23 kg.,"73,94 Kr.","80,10 Kr.",13-11-2020,Thyborøn
Helleflynder,"4,0",12 kg.,"61,13 Kr.","64,20 Kr.",13-11-2020,Thyborøn
Helleflynder,"5,0",15 kg.,"59,12 Kr.","62,40 Kr.",13-11-2020,Thyborøn
Hvilling,"1,0",11 kg.,"18,80 Kr.","18,80 Kr.",13-11-2020,Thyborøn
Hvilling,"2,0",71 kg.,"6,82 Kr.","6,90 Kr.",13-11-2020,Thyborøn
Hvilling,"3,0",3 kg.,"2,90 Kr.","2,90 Kr.",13-11-2020,Thyborøn
Ising,"1,0",556 kg.,"14,42 Kr.","14,90 Kr.",13-11-2020,Thyborøn
Ising,"2,0",333 kg.,"9,61 Kr.","10,20 Kr.",13-11-2020,Thyborøn
Knurhaner,"1,0",2 kg.,"2,30 Kr.","2,30 Kr.",13-11-2020,Thyborøn
Knurhaner,"2,0",34 kg.,"8,55 Kr.","10,10 Kr.",13-11-2020,Thyborøn
Knurhaner,"3,0",26 kg.,"2,50 Kr.","2,50 Kr.",13-11-2020,Thyborøn
Knurhaner,"9,0",4 kg.,"8,65 Kr.","11,20 Kr.",13-11-2020,Thyborøn
Krabbeklør,"1,0",58 kg.,"39,85 Kr.","39,90 Kr.",13-11-2020,Thyborøn
Krabbeklør,"2,0",121 kg.,"14,69 Kr.","21,89 Kr.",13-11-2020,Thyborøn
Krabbeklør,"3,0",7 kg.,"4,00 Kr.","4,00 Kr.",13-11-2020,Thyborøn
Krabbeklør,"9,0",19 kg.,"8,79 Kr.","14,40 Kr.",13-11-2020,Thyborøn
Kuller,"1,0",297 kg.,"25,57 Kr.","28,00 Kr.",13-11-2020,Thyborøn
Kuller,"2,0",922 kg.,"14,59 Kr.","16,79 Kr.",13-11-2020,Thyborøn
Kuller,"3,0",605 kg.,"5,40 Kr.","6,45 Kr.",13-11-2020,Thyborøn
Kuller,"9,0",4 kg.,"19,50 Kr.","19,50 Kr.",13-11-2020,Thyborøn
Kulmule,"0,0",891 kg.,"60,76 Kr.","64,48 Kr.",13-11-2020,Thyborøn
Kulmule,"1,0",1.456 kg.,"41,76 Kr.","47,68 Kr.",13-11-2020,Thyborøn
Kulmule,"2,0",5.105 kg.,"31,85 Kr.","36,00 Kr.",13-11-2020,Thyborøn
Kulmule,"3,0",2.840 kg.,"19,27 Kr.","21,18 Kr.",13-11-2020,Thyborøn
Kulmule,"4,0",212 kg.,"6,46 Kr.","11,49 Kr.",13-11-2020,Thyborøn
Kulmule,"9,0",7 kg.,"17,10 Kr.","17,10 Kr.",13-11-2020,Thyborøn
Kulso,"9,0",1 kg.,"0,30 Kr.","0,30 Kr.",13-11-2020,Thyborøn
Langer,"1,0",148 kg.,"18,17 Kr.","18,40 Kr.",13-11-2020,Thyborøn
Langer,"2,0",21 kg.,"17,13 Kr.","17,70 Kr.",13-11-2020,Thyborøn
Langer,"3,0",337 kg.,"15,41 Kr.","16,20 Kr.",13-11-2020,Thyborøn
Lyssej,"1,0",10 kg.,"28,35 Kr.","28,90 Kr.",13-11-2020,Thyborøn
Lyssej,"2,0",59 kg.,"22,99 Kr.","31,70 Kr.",13-11-2020,Thyborøn
Lyssej,"3,0",120 kg.,"26,12 Kr.","27,50 Kr.",13-11-2020,Thyborøn
Lyssej,"4,0",49 kg.,"19,87 Kr.","21,90 Kr.",13-11-2020,Thyborøn
Lyssej,"9,0",2 kg.,"2,90 Kr.","2,90 Kr.",13-11-2020,Thyborøn
Makrel,"9,0",3 kg.,"15,40 Kr.","15,40 Kr.",13-11-2020,Thyborøn
Mørksej,"1,0",182 kg.,"16,02 Kr.","18,20 Kr.",13-11-2020,Thyborøn
Mørksej,"2,0",205 kg.,"14,11 Kr.","14,51 Kr.",13-11-2020,Thyborøn
Mørksej,"3,0",1.231 kg.,"13,44 Kr.","14,44 Kr.",13-11-2020,Thyborøn
Mørksej,"4,0",1.957 kg.,"11,39 Kr.","12,26 Kr.",13-11-2020,Thyborøn
Pighvar,"0,0",5 kg.,"85,30 Kr.","85,30 Kr.",13-11-2020,Thyborøn
Pighvar,"1,0",27 kg.,"77,89 Kr.","81,30 Kr.",13-11-2020,Thyborøn
Pighvar,"2,0",54 kg.,"70,39 Kr.","96,60 Kr.",13-11-2020,Thyborøn
Pighvar,"3,0",205 kg.,"47,48 Kr.","53,40 Kr.",13-11-2020,Thyborøn
Pighvar,"4,0",186 kg.,"31,91 Kr.","35,00 Kr.",13-11-2020,Thyborøn
Pighvar,"9,0",107 kg.,"9,50 Kr.","48,30 Kr.",13-11-2020,Thyborøn
Rødfisk,"2,0",2 kg.,"23,40 Kr.","23,40 Kr.",13-11-2020,Thyborøn
Rødspætter,"1,0",665 kg.,"26,68 Kr.","31,40 Kr.",13-11-2020,Thyborøn
Rødspætter,"2,0",1.124 kg.,"28,24 Kr.","31,16 Kr.",13-11-2020,Thyborøn
Rødspætter,"3,0",1.542 kg.,"18,95 Kr.","20,52 Kr.",13-11-2020,Thyborøn
Rødspætter,"4,0",3.767 kg.,"14,46 Kr.","14,63 Kr.",13-11-2020,Thyborøn
Rødspætter,"9,0",4 kg.,"15,00 Kr.","15,00 Kr.",13-11-2020,Thyborøn
Rødtunger,"1,0",108 kg.,"42,12 Kr.","61,20 Kr.",13-11-2020,Thyborøn
Rødtunger,"2,0",462 kg.,"34,50 Kr.","45,40 Kr.",13-11-2020,Thyborøn
Rødtunger,"3,0",303 kg.,"19,09 Kr.","20,40 Kr.",13-11-2020,Thyborøn
Rødtunger,"9,0",10 kg.,"20,15 Kr.","21,80 Kr.",13-11-2020,Thyborøn
Sankt Peters fisk,"9,0",7 kg.,"23,51 Kr.","27,80 Kr.",13-11-2020,Thyborøn
Skælbrosme,"9,0",41 kg.,"7,49 Kr.","8,40 Kr.",13-11-2020,Thyborøn
Skærising,"1,0",87 kg.,"28,61 Kr.","36,80 Kr.",13-11-2020,Thyborøn
Skærising,"2,0",285 kg.,"16,11 Kr.","27,50 Kr.",13-11-2020,Thyborøn
Skærising,"3,0",78 kg.,"4,40 Kr.","5,20 Kr.",13-11-2020,Thyborøn
Skærising,"9,0",12 kg.,"10,70 Kr.","10,70 Kr.",13-11-2020,Thyborøn
Slethvar,"1,0",51 kg.,"42,64 Kr.","49,50 Kr.",13-11-2020,Thyborøn
Slethvar,"2,0",122 kg.,"24,49 Kr.","33,60 Kr.",13-11-2020,Thyborøn
Småplettet rokke,"9,0",15 kg.,"1,90 Kr.","1,90 Kr.",13-11-2020,Thyborøn
Storplettet Rokke,"9,0",4 kg.,"1,90 Kr.","1,90 Kr.",13-11-2020,Thyborøn
Torsk,"0,0",593 kg.,"44,22 Kr.","46,39 Kr.",13-11-2020,Thyborøn
Torsk,"1,0",4.121 kg.,"43,57 Kr.","45,00 Kr.",13-11-2020,Thyborøn
Torsk,"2,0",4.532 kg.,"41,79 Kr.","44,66 Kr.",13-11-2020,Thyborøn
Torsk,"3,0",1.410 kg.,"36,24 Kr.","38,76 Kr.",13-11-2020,Thyborøn
Torsk,"4,0",1.483 kg.,"26,84 Kr.","31,08 Kr.",13-11-2020,Thyborøn
Torsk,"5,0",660 kg.,"20,19 Kr.","23,04 Kr.",13-11-2020,Thyborøn
Torskerogn,"9,0",2 kg.,"25,50 Kr.","25,50 Kr.",13-11-2020,Thyborøn
Tunger,"1,0",33 kg.,"99,92 Kr.","114,50 Kr.",13-11-2020,Thyborøn
Alm hummer,"1,0",20 kg.,"133,36 Kr.","140,90 Kr.",16-11-2020,Thyborøn
Alm hummer,"2,0",1 kg.,"55,10 Kr.","55,10 Kr.",16-11-2020,Thyborøn
Alm hummer,"9,0",4 kg.,"110,35 Kr.","117,30 Kr.",16-11-2020,Thyborøn
Blæksprutte Ottearmet,"4,0",42 kg.,"15,02 Kr.","15,20 Kr.",16-11-2020,Thyborøn
Blæksprutter,"9,0",657 kg.,"15,90 Kr.","19,34 Kr.",16-11-2020,Thyborøn
Fjæsing,"9,0",83 kg.,"14,76 Kr.","17,30 Kr.",16-11-2020,Thyborøn
Grå knurhaner,"9,0",127 kg.,"2,40 Kr.","2,40 Kr.",16-11-2020,Thyborøn
Havkat,"1,0",14 kg.,"49,30 Kr.","49,30 Kr.",16-11-2020,Thyborøn
Havkat,"2,0",153 kg.,"42,85 Kr.","45,60 Kr.",16-11-2020,Thyborøn
Havkat,"3,0",61 kg.,"18,40 Kr.","20,10 Kr.",16-11-2020,Thyborøn
Havkat,"9,0",5 kg.,"22,90 Kr.","22,90 Kr.",16-11-2020,Thyborøn
Havtaske,"1,0",153 kg.,"31,96 Kr.","34,81 Kr.",16-11-2020,Thyborøn
Havtaske,"2,0",340 kg.,"34,68 Kr.","37,80 Kr.",16-11-2020,Thyborøn
Havtaske,"3,0",856 kg.,"34,81 Kr.","35,21 Kr.",16-11-2020,Thyborøn
Havtaske,"4,0",643 kg.,"26,75 Kr.","33,26 Kr.",16-11-2020,Thyborøn
Havtaske,"5,0",216 kg.,"15,10 Kr.","16,44 Kr.",16-11-2020,Thyborøn
Havtaske u/h,"2,0",10 kg.,"93,00 Kr.","93,00 Kr.",16-11-2020,Thyborøn
Havtaske u/h,"3,0",21 kg.,"80,30 Kr.","80,30 Kr.",16-11-2020,Thyborøn
Havtaske u/h,"4,0",16 kg.,"64,40 Kr.","64,40 Kr.",16-11-2020,Thyborøn
Havtaske u/h,"9,0",1 kg.,"28,50 Kr.","28,50 Kr.",16-11-2020,Thyborøn
Hvilling,"2,0",108 kg.,"6,35 Kr.","8,01 Kr.",16-11-2020,Thyborøn
Hvilling,"3,0",23 kg.,"4,99 Kr.","5,56 Kr.",16-11-2020,Thyborøn
Ising,"1,0",439 kg.,"15,44 Kr.","17,48 Kr.",16-11-2020,Thyborøn
Ising,"2,0",693 kg.,"10,50 Kr.","11,21 Kr.",16-11-2020,Thyborøn
Knurhaner,"1,0",4 kg.,"28,20 Kr.","28,20 Kr.",16-11-2020,Thyborøn
Knurhaner,"2,0",24 kg.,"14,89 Kr.","16,70 Kr.",16-11-2020,Thyborøn
Knurhaner,"3,0",63 kg.,"2,89 Kr.","6,10 Kr.",16-11-2020,Thyborøn
Krabbeklør,"1,0",44 kg.,"71,30 Kr.","86,10 Kr.",16-11-2020,Thyborøn
Krabbeklør,"2,0",38 kg.,"19,79 Kr.","26,60 Kr.",16-11-2020,Thyborøn
Krabbeklør,"9,0",86 kg.,"22,46 Kr.","30,40 Kr.",16-11-2020,Thyborøn
Kuller,"1,0",43 kg.,"28,91 Kr.","29,30 Kr.",16-11-2020,Thyborøn
Kuller,"2,0",69 kg.,"17,78 Kr.","18,80 Kr.",16-11-2020,Thyborøn
Kuller,"3,0",186 kg.,"6,47 Kr.","7,63 Kr.",16-11-2020,Thyborøn
Kuller,"4,0",700 kg.,"3,54 Kr.","3,56 Kr.",16-11-2020,Thyborøn
Kulmule,"0,0",16 kg.,"23,11 Kr.","23,11 Kr.",16-11-2020,Thyborøn
Kulmule,"2,0",59 kg.,"20,43 Kr.","24,86 Kr.",16-11-2020,Thyborøn
Kulmule,"3,0",103 kg.,"14,49 Kr.","14,87 Kr.",16-11-2020,Thyborøn
Kulmule,"4,0",26 kg.,"4,64 Kr.","5,46 Kr.",16-11-2020,Thyborøn
Langer,"2,0",31 kg.,"20,15 Kr.","21,20 Kr.",16-11-2020,Thyborøn
Langer,"3,0",231 kg.,"7,40 Kr.","15,26 Kr.",16-11-2020,Thyborøn
Lyssej,"1,0",6 kg.,"21,50 Kr.","21,50 Kr.",16-11-2020,Thyborøn
Lyssej,"2,0",48 kg.,"29,49 Kr.","30,50 Kr.",16-11-2020,Thyborøn
Lyssej,"3,0",195 kg.,"29,46 Kr.","34,80 Kr.",16-11-2020,Thyborøn
Lyssej,"4,0",207 kg.,"23,47 Kr.","24,89 Kr.",16-11-2020,Thyborøn
Makrel,"9,0",10 kg.,"16,70 Kr.","16,70 Kr.",16-11-2020,Thyborøn
Mørksej,"1,0",117 kg.,"12,99 Kr.","12,99 Kr.",16-11-2020,Thyborøn
Mørksej,"2,0",292 kg.,"13,24 Kr.","14,74 Kr.",16-11-2020,Thyborøn
Mørksej,"3,0",900 kg.,"13,99 Kr.","14,83 Kr.",16-11-2020,Thyborøn
Mørksej,"4,0",533 kg.,"8,39 Kr.","8,47 Kr.",16-11-2020,Thyborøn
Pighvar,"0,0",21 kg.,"91,99 Kr.","101,10 Kr.",16-11-2020,Thyborøn
Pighvar,"1,0",51 kg.,"89,64 Kr.","96,70 Kr.",16-11-2020,Thyborøn
Pighvar,"2,0",38 kg.,"96,07 Kr.","106,20 Kr.",16-11-2020,Thyborøn
Pighvar,"3,0",120 kg.,"66,82 Kr.","79,20 Kr.",16-11-2020,Thyborøn
Pighvar,"4,0",195 kg.,"32,63 Kr.","52,50 Kr.",16-11-2020,Thyborøn
Pighvar,"9,0",36 kg.,"41,06 Kr.","51,40 Kr.",16-11-2020,Thyborøn
Rød mulle,"9,0",12 kg.,"43,26 Kr.","46,70 Kr.",16-11-2020,Thyborøn
Rødfisk,"2,0",1 kg.,"20,20 Kr.","20,20 Kr.",16-11-2020,Thyborøn
Rødhaj,"9,0",57 kg.,"2,93 Kr.","3,30 Kr.",16-11-2020,Thyborøn
Rødspætter,"1,0",3.308 kg.,"26,45 Kr.","30,89 Kr.",16-11-2020,Thyborøn
Rødspætter,"2,0",3.458 kg.,"26,78 Kr.","31,80 Kr.",16-11-2020,Thyborøn
Rødspætter,"3,0",4.969 kg.,"17,43 Kr.","23,28 Kr.",16-11-2020,Thyborøn
Rødspætter,"4,0",8.706 kg.,"14,19 Kr.","14,66 Kr.",16-11-2020,Thyborøn
Rødtunger,"1,0",248 kg.,"55,71 Kr.","57,70 Kr.",16-11-2020,Thyborøn
Rødtunger,"2,0",1.257 kg.,"38,39 Kr.","43,02 Kr.",16-11-2020,Thyborøn
Rødtunger,"3,0",2.225 kg.,"21,95 Kr.","24,60 Kr.",16-11-2020,Thyborøn
Rødtunger,"9,0",1 kg.,"4,90 Kr.","4,90 Kr.",16-11-2020,Thyborøn
Sankt Peters fisk,"9,0",4 kg.,"24,00 Kr.","24,00 Kr.",16-11-2020,Thyborøn
Skægtorsk,"6,0",5 kg.,"8,30 Kr.","8,30 Kr.",16-11-2020,Thyborøn
Skærising,"1,0",150 kg.,"27,07 Kr.","27,61 Kr.",16-11-2020,Thyborøn
Skærising,"2,0",156 kg.,"18,97 Kr.","20,35 Kr.",16-11-2020,Thyborøn
Skærising,"3,0",90 kg.,"5,61 Kr.","5,73 Kr.",16-11-2020,Thyborøn
Skærising,"9,0",2 kg.,"15,70 Kr.","15,70 Kr.",16-11-2020,Thyborøn
Slethvar,"0,0",53 kg.,"63,82 Kr.","71,40 Kr.",16-11-2020,Thyborøn
Slethvar,"1,0",108 kg.,"46,16 Kr.","53,30 Kr.",16-11-2020,Thyborøn
Slethvar,"2,0",314 kg.,"24,24 Kr.","32,20 Kr.",16-11-2020,Thyborøn
Småplettet rokke,"9,0",434 kg.,"2,67 Kr.","5,60 Kr.",16-11-2020,Thyborøn
Storplettet Rokke,"9,0",18 kg.,"3,35 Kr.","4,90 Kr.",16-11-2020,Thyborøn
Torsk,"0,0",127 kg.,"43,95 Kr.","46,97 Kr.",16-11-2020,Thyborøn
Torsk,"1,0",142 kg.,"43,27 Kr.","46,51 Kr.",16-11-2020,Thyborøn
Torsk,"2,0",410 kg.,"42,56 Kr.","44,40 Kr.",16-11-2020,Thyborøn
Torsk,"3,0",1.466 kg.,"35,41 Kr.","36,17 Kr.",16-11-2020,Thyborøn
Torsk,"4,0",3.637 kg.,"25,79 Kr.","31,23 Kr.",16-11-2020,Thyborøn
Torsk,"5,0",5.680 kg.,"15,14 Kr.","18,94 Kr.",16-11-2020,Thyborøn
Tunger,"1,0",143 kg.,"93,25 Kr.","116,70 Kr.",16-11-2020,Thyborøn
Tunger,"2,0",125 kg.,"80,00 Kr.","87,80 Kr.",16-11-2020,Thyborøn
Tunger,"3,0",133 kg.,"64,26 Kr.","65,80 Kr.",16-11-2020,Thyborøn
Tunger,"4,0",117 kg.,"45,77 Kr.","55,80 Kr.",16-11-2020,Thyborøn
Tunger,"5,0",150 kg.,"31,43 Kr.","33,39 Kr.",16-11-2020,Thyborøn
Tunger,"9,0",2 kg.,"60,60 Kr.","60,60 Kr.",16-11-2020,Thyborøn
Blæksprutte Ottearmet,"4,0",70 kg.,"5,14 Kr.","5,40 Kr.",17-11-2020,Thyborøn
Blæksprutter,"9,0",706 kg.,"17,69 Kr.","20,48 Kr.",17-11-2020,Thyborøn
Brosme,"9,0",6 kg.,"16,10 Kr.","16,10 Kr.",17-11-2020,Thyborøn
Fjæsing,"9,0",50 kg.,"11,16 Kr.","12,30 Kr.",17-11-2020,Thyborøn
Glashvarre,"9,0",285 kg.,"40,58 Kr.","45,70 Kr.",17-11-2020,Thyborøn
Grå knurhaner,"9,0",53 kg.,"2,60 Kr.","2,60 Kr.",17-11-2020,Thyborøn
Havkat,"1,0",11 kg.,"47,20 Kr.","47,20 Kr.",17-11-2020,Thyborøn
Havkat,"2,0",32 kg.,"45,02 Kr.","45,30 Kr.",17-11-2020,Thyborøn
Havkat,"3,0",52 kg.,"20,30 Kr.","20,30 Kr.",17-11-2020,Thyborøn
Havtaske,"1,0",426 kg.,"28,99 Kr.","33,02 Kr.",17-11-2020,Thyborøn
Havtaske,"2,0",1.126 kg.,"33,32 Kr.","34,04 Kr.",17-11-2020,Thyborøn
Havtaske,"3,0",1.068 kg.,"34,37 Kr.","35,03 Kr.",17-11-2020,Thyborøn
Havtaske,"4,0",449 kg.,"27,95 Kr.","31,24 Kr.",17-11-2020,Thyborøn
Havtaske,"5,0",217 kg.,"13,72 Kr.","16,32 Kr.",17-11-2020,Thyborøn
Havtaske u/h,"2,0",28 kg.,"86,20 Kr.","86,20 Kr.",17-11-2020,Thyborøn
Havtaske u/h,"3,0",51 kg.,"74,40 Kr.","74,40 Kr.",17-11-2020,Thyborøn
Havtaske u/h,"4,0",188 kg.,"56,60 Kr.","56,60 Kr.",17-11-2020,Thyborøn
Havtaske u/h,"5,0",104 kg.,"39,91 Kr.","45,10 Kr.",17-11-2020,Thyborøn
Helleflynder,"1,0",22 kg.,"87,20 Kr.","87,20 Kr.",17-11-2020,Thyborøn
Helleflynder,"2,0",26 kg.,"86,58 Kr.","88,80 Kr.",17-11-2020,Thyborøn
Helleflynder,"3,0",3 kg.,"88,50 Kr.","88,50 Kr.",17-11-2020,Thyborøn
Helleflynder,"4,0",17 kg.,"72,51 Kr.","75,10 Kr.",17-11-2020,Thyborøn
Helleflynder,"5,0",3 kg.,"73,50 Kr.","73,50 Kr.",17-11-2020,Thyborøn
Hvilling,"1,0",284 kg.,"16,97 Kr.","19,50 Kr.",17-11-2020,Thyborøn
Hvilling,"2,0",381 kg.,"8,98 Kr.","14,27 Kr.",17-11-2020,Thyborøn
Hvilling,"3,0",115 kg.,"6,84 Kr.","6,84 Kr.",17-11-2020,Thyborøn
Hvilling,"9,0",171 kg.,"6,89 Kr.","12,91 Kr.",17-11-2020,Thyborøn
Ising,"1,0",223 kg.,"17,51 Kr.","19,10 Kr.",17-11-2020,Thyborøn
Ising,"2,0",261 kg.,"10,79 Kr.","11,02 Kr.",17-11-2020,Thyborøn
Ising,"9,0",5 kg.,"11,50 Kr.","11,50 Kr.",17-11-2020,Thyborøn
Jomfruhummer,"9,0",540 kg.,"40,48 Kr.","46,10 Kr.",17-11-2020,Thyborøn
Knurhaner,"1,0",7 kg.,"29,40 Kr.","29,40 Kr.",17-11-2020,Thyborøn
Knurhaner,"2,0",12 kg.,"17,00 Kr.","17,00 Kr.",17-11-2020,Thyborøn
Knurhaner,"3,0",24 kg.,"2,70 Kr.","2,70 Kr.",17-11-2020,Thyborøn
Krabbeklør,"1,0",25 kg.,"50,20 Kr.","50,20 Kr.",17-11-2020,Thyborøn
Krabbeklør,"2,0",16 kg.,"28,00 Kr.","28,00 Kr.",17-11-2020,Thyborøn
Kuller,"1,0",108 kg.,"28,88 Kr.","34,37 Kr.",17-11-2020,Thyborøn
Kuller,"2,0",103 kg.,"19,95 Kr.","20,49 Kr.",17-11-2020,Thyborøn
Kuller,"3,0",297 kg.,"6,31 Kr.","10,28 Kr.",17-11-2020,Thyborøn
Kuller,"4,0",901 kg.,"3,63 Kr.","3,64 Kr.",17-11-2020,Thyborøn
Kulmule,"0,0",868 kg.,"64,27 Kr.","73,24 Kr.",17-11-2020,Thyborøn
Kulmule,"1,0",1.185 kg.,"44,85 Kr.","50,74 Kr.",17-11-2020,Thyborøn
Kulmule,"2,0",3.298 kg.,"32,91 Kr.","39,78 Kr.",17-11-2020,Thyborøn
Kulmule,"3,0",486 kg.,"24,14 Kr.","25,73 Kr.",17-11-2020,Thyborøn
Kulmule,"4,0",14 kg.,"4,51 Kr.","5,07 Kr.",17-11-2020,Thyborøn
Kulmule,"9,0",681 kg.,"8,32 Kr.","16,13 Kr.",17-11-2020,Thyborøn
Langer,"1,0",103 kg.,"26,91 Kr.","28,09 Kr.",17-11-2020,Thyborøn
Langer,"2,0",145 kg.,"27,48 Kr.","29,26 Kr.",17-11-2020,Thyborøn
Langer,"3,0",496 kg.,"14,06 Kr.","15,99 Kr.",17-11-2020,Thyborøn
Lyssej,"2,0",52 kg.,"27,09 Kr.","28,30 Kr.",17-11-2020,Thyborøn
Lyssej,"3,0",45 kg.,"28,89 Kr.","29,09 Kr.",17-11-2020,Thyborøn
Lyssej,"4,0",57 kg.,"20,16 Kr.","20,41 Kr.",17-11-2020,Thyborøn
Mørksej,"1,0",135 kg.,"16,93 Kr.","17,13 Kr.",17-11-2020,Thyborøn
Mørksej,"2,0",393 kg.,"13,72 Kr.","13,83 Kr.",17-11-2020,Thyborøn
Mørksej,"3,0",2.583 kg.,"11,06 Kr.","14,78 Kr.",17-11-2020,Thyborøn
Mørksej,"4,0",2.450 kg.,"8,51 Kr.","8,98 Kr.",17-11-2020,Thyborøn
Pighvar,"0,0",5 kg.,"135,70 Kr.","135,70 Kr.",17-11-2020,Thyborøn
Pighvar,"1,0",77 kg.,"100,59 Kr.","102,20 Kr.",17-11-2020,Thyborøn
Pighvar,"2,0",101 kg.,"92,17 Kr.","93,60 Kr.",17-11-2020,Thyborøn
Pighvar,"3,0",222 kg.,"64,01 Kr.","67,10 Kr.",17-11-2020,Thyborøn
Pighvar,"4,0",105 kg.,"40,77 Kr.","43,20 Kr.",17-11-2020,Thyborøn
Pighvar,"9,0",30 kg.,"21,74 Kr.","31,20 Kr.",17-11-2020,Thyborøn
"Pighvar,ind.farv.","2,0",8 kg.,"57,41 Kr.","57,41 Kr.",17-11-2020,Thyborøn
"Pighvar,ind.farv.","3,0",66 kg.,"46,93 Kr.","50,37 Kr.",17-11-2020,Thyborøn
"Pighvar,ind.farv.","4,0",89 kg.,"32,24 Kr.","33,38 Kr.",17-11-2020,Thyborøn
Ritter,"9,0",7 kg.,"1,00 Kr.","1,00 Kr.",17-11-2020,Thyborøn
Rød mulle,"9,0",6 kg.,"39,00 Kr.","39,00 Kr.",17-11-2020,Thyborøn
Rødhaj,"9,0",25 kg.,"2,90 Kr.","2,90 Kr.",17-11-2020,Thyborøn
"Rødsp, indr farv.","1,0",360 kg.,"14,30 Kr.","14,30 Kr.",17-11-2020,Thyborøn
"Rødsp, indr farv.","2,0",1.140 kg.,"15,18 Kr.","15,35 Kr.",17-11-2020,Thyborøn
"Rødsp, indr farv.","3,0",2.790 kg.,"12,79 Kr.","13,36 Kr.",17-11-2020,Thyborøn
"Rødsp, indr farv.","4,0",1.740 kg.,"12,62 Kr.","12,62 Kr.",17-11-2020,Thyborøn
Rødspætter,"1,0",2.435 kg.,"27,75 Kr.","29,68 Kr.",17-11-2020,Thyborøn
Rødspætter,"2,0",2.866 kg.,"28,66 Kr.","35,00 Kr.",17-11-2020,Thyborøn
Rødspætter,"3,0",3.765 kg.,"19,23 Kr.","24,20 Kr.",17-11-2020,Thyborøn
Rødspætter,"4,0",6.184 kg.,"14,07 Kr.","15,53 Kr.",17-11-2020,Thyborøn
Rødspætter Discard,"9,0",100 kg.,"0,10 Kr.","0,10 Kr.",17-11-2020,Thyborøn
Rødtunger,"1,0",50 kg.,"63,63 Kr.","71,90 Kr.",17-11-2020,Thyborøn
Rødtunger,"2,0",731 kg.,"41,91 Kr.","47,81 Kr.",17-11-2020,Thyborøn
Rødtunger,"3,0",1.521 kg.,"20,68 Kr.","28,40 Kr.",17-11-2020,Thyborøn
Sankt Peters fisk,"9,0",2 kg.,"30,00 Kr.","30,00 Kr.",17-11-2020,Thyborøn
Skærising,"1,0",30 kg.,"32,97 Kr.","32,97 Kr.",17-11-2020,Thyborøn
Skærising,"2,0",334 kg.,"18,15 Kr.","19,97 Kr.",17-11-2020,Thyborøn
Skærising,"3,0",330 kg.,"7,67 Kr.","9,68 Kr.",17-11-2020,Thyborøn
Skærising,"9,0",6 kg.,"14,70 Kr.","14,70 Kr.",17-11-2020,Thyborøn
Slethvar,"0,0",64 kg.,"62,03 Kr.","62,20 Kr.",17-11-2020,Thyborøn
Slethvar,"1,0",229 kg.,"47,04 Kr.","49,40 Kr.",17-11-2020,Thyborøn
Slethvar,"2,0",106 kg.,"27,73 Kr.","30,90 Kr.",17-11-2020,Thyborøn
Slethvar,"9,0",2 kg.,"19,10 Kr.","19,10 Kr.",17-11-2020,Thyborøn
Småplettet rokke,"9,0",135 kg.,"4,41 Kr.","4,41 Kr.",17-11-2020,Thyborøn
Storplettet Rokke,"9,0",50 kg.,"4,51 Kr.","4,51 Kr.",17-11-2020,Thyborøn
Torsk,"0,0",47 kg.,"42,28 Kr.","42,28 Kr.",17-11-2020,Thyborøn
